"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
5066GG-LA,5066GG-2,
5067DG-2,5067DG,
5067DG-LA,5067DG,
5068B,5068B-2,
5068B-LA,5068B-2,
5069B,5069B-2,
5069B-LA,5069B-2,
5070G,5070G-2,
5070G-2-LA,5070G-2,
5071BR-root,5071BR,
5072BL-LA,5072BL,
5073-2-LA,5073-2,
5074-LA,5074,
5075-LA,5075,
5076-2-LA,5076-2,
5076-LA,5076,
5077-LA,5077,
5078-LA,5078,
5079-4,AM5079-4,
5080,AM5080-4,
5080-4,AM5080-4,
5080BG,5180,
5081-LA,5081,
5082-4-LA,5082-4,
5083-LA,5083,
5084-2-LA,5084-2,
5086,5086-2,
5086-2-LA,5086-2,
5087,5087-2,
5087-2-LA,5087-2,
5088,5088-2,
5088-2-LA,5088-2,
5089,5089-4,
5089-4-LA,5089-4,
5089BG-4-LA,5089BG-4,
5089CC-4-LA,5089CC-4,
5090,5090-4,
5090-4-LA,5090-4,
5090BG-4-LA,5090BG-4,
5090CC-4-LA,5090CC-4,
5090DM-4-LA,5090dm-4,
5090MDM,5090MDM-4,
5091-2-LA,5091-2,
5091DG,5091-2,
5091H-2-LA,5091H-2,
5091M-2-LA,5091M-2,
5092,5092-2,
5092-2-LA,5092-2,
5093-2-LA,5093-2,
5094-2-LA,5094-2,
5095-2-LA,5095-2,
5096-2-LA,5096-2,
5097-2-LA,5097-2,
5098-2-LA,5098-2,
5100-LA,5100,
5101-2-LA,5101-2,
5102W,5102,
5103-2-LA,5103-2,
5108-2,5108B-2,
5109,5109-2,
5110-2,5110,
5111--2,5111-2,
5111-2-LA,5111-2,
5112B-LA,5112B,
5112G-LA,5112G,
5113-2-LA,5113-2,
5114-2-LA,5114-2,
5115-LA,5115,
5115A,5115,
5126.-2,5126-2,
5127.-2,5127-2,
5131G,5132G,
5132,5132G,
5146-1,5146,
5149,5149-2,
5153-2a,5153-2,
5153GY-1,5153GR-1,
5153GY-2,5153GR-2,
5177TABLE,5177table-1,
5180BG,5180,
5211cushioncream,5211-cushion-Cream,
5213,5213BL,
5223BU2,5223BU-2,
5224-25-BG,5225-25-BG-2,
5224-25-BG-2,5224BG-2,
5225-25-BG,5225-25-BG-2,
5234-1,5234-1-HEAVY-HEAVY,
5234-10,5234-10-HEAVY-HEAVY,
5234-2,5234-2-HEAVY-HEAVY,
5234-5,5234-5-HEAVY-HEAVY,
5245-cushion-Red,5245,
5273-1,AM5273-1,
5273-10,AM5273-10,
