"Item Type","Scan Control","Teapplix SKU","Item Title",Category,"Walmart Category Id","Walmart Tax Code",Supplier,"Supplier SKU",Asin,UPC,FNSKU,Location,Xref3,"Image Small","Image Large","Default Price","MSRP Price","MAP Price","Customs Value","Customs Description","Localized Customs Description","Harmonized Tariff Code","Sales Rep","Commission Rate",Date,"Dangerous Goods Type","Country of Origin",Brand,Model,Manufacturer,"Manufacturer Part Number","Has Category",Active,Weight,"Weight Unit","Initial Qty"
0,normal,11058348888126639132,"BTEXPERT 100% Cotton Natural Tote Bags, Large Reusable Shopping Cloth Bags for Grocery, DIY Projects, Advertising, Promotion, Gifts & Events ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5340-24-1A.jpg?v=1776811630,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11131057776588441072,"BTEXPERT Slim fit Straight leg Stretch Denim Jeans Cargo Pockets Distressed All Over Frayed Ripped Patchwork Stacked Design Streetwear Statement Pants",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M5-JETBLACK-1A.png?v=1776378807,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11160044309886261845,"NOVASTILE Men’s Vintage Rip & Repair Jeans Loose Relaxed Straight Denim Pants Faded Wash Retro Y2K Style Frayed Rigid Distressed Mid Waist Casual ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M1-LTTNT-1A_6fb79797-2bd8-4cf4-a1ae-5bc2dfd66ae2.png?v=1777497978,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1118788848087054599,"BTEXPERT Crew Diabetic Socks for Men & Women, Non-Binding Cotton for Neuropathy, Cushioned Moisture-Wicking Loose Fit, 12 Pairs, Size 9-11",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5325-12-1A.jpg?v=1776811432,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11201642384750616694,"BTEXPERT Slim fit Straight leg Stretch Denim Jeans Cargo Pockets Distressed All Over Frayed Ripped Patchwork Stacked Design Streetwear Light Wash ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M5-ICEBLUE-1A_4336ddaa-a646-4860-93fd-77cf28f1fce4.png?v=1777490102,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11433825161339584922,"White Plastic Folding Chair Fan Back- In Store Only",,,,,,,,,,,,https://www.btexpert.com/cdn/shop/files/5236_2_54ca35a7-dad9-49f7-aa7c-b974d5c394fe.jpg?v=1706041474&width=1920,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11436751606357888766,"NOVASTILE 100% Cotton Canvas Large Tote Bags 12oz, Reusable Shopping C",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5343_shopify.jpg?v=1776209517,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11487735838756326321,"BTEXPERT Men’s Black Ripped Jeans Rigid Distressed Straight Leg Denim Pants Casual Streetwear Mid Rise Loose Relaxed Fit 5 Pocket Comfortable Everyday",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M1-JETBLACK-1A.png?v=1776378814,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11508113010683931474,"BTEXPERT Men’s Vintage Rip & Repair Jeans Loose Relaxed Straight Denim Pants Faded Wash Retro Y2K Style Frayed Rigid Distressed Mid Waist Casual ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M1-LTTNT-1A_6fb79797-2bd8-4cf4-a1ae-5bc2dfd66ae2.png?v=1777497978,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11519692601364802205,"NOVASTILE Ankle Diabetic Socks for Men & Women, Non-Binding Cotton for Neuropathy, Cushioned Moisture-Wicking Loose Fit, 12 Pairs, Size 10-13",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5323-12-1A.jpg?v=1776811649,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11567490795650998299,"NOVASTILE Men’s Light Wash Rigid Distressed Ripped Jeans Relaxed Straight Fit Denim Pants Rip & Repair Washed Finish Casual Streetwear Everyday Wear ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M2-ICEBLUE-1A.png?v=1776378877,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11645068609905777687,"BTEXPERT Distressed Denim Jeans Loose Wide Leg Baggy Classic Minimal Everyday Casual Comfort Basic Denim Pants Light Wash Durable Stylish M6 Light ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M6-ICEBLUE-1A.png?v=1776378892,,,,,,,,,,,0,,,,,,1,1,,,
